ano,faixa_score,sum,count,taxa_aprovacao_pct
2021,0 pontos,13569,47279,28.7
2021,1-25% do maximo,13588,22517,60.3
2021,26-50% do maximo,2155,3276,65.8
2021,51-75% do maximo,147,203,72.4
2021,76-100% do maximo,6,8,75.0
2022,0 pontos,22060,40721,54.2
2022,1-25% do maximo,11531,20331,56.7
2022,26-50% do maximo,1646,2817,58.4
2022,51-75% do maximo,113,176,64.2
2022,76-100% do maximo,9,10,90.0
2023,0 pontos,12733,23834,53.4
2023,1-25% do maximo,13637,23603,57.8
2023,26-50% do maximo,2165,3659,59.2
2023,51-75% do maximo,134,208,64.4
2023,76-100% do maximo,17,27,63.0
2024,0 pontos,16005,26093,61.3
2024,1-25% do maximo,13279,21070,63.0
2024,26-50% do maximo,21221,33066,64.2
2024,51-75% do maximo,1515,2394,63.3
2024,76-100% do maximo,48,67,71.6
2025,0 pontos,15520,22855,67.9
2025,1-25% do maximo,9292,13647,68.1
2025,26-50% do maximo,180,306,58.8
2025,51-75% do maximo,23145,34067,67.9
2025,76-100% do maximo,719,1074,66.9
